"","V1","Aedes impiger","Aedes nigripes","Botanophila profuga","Bradysia sp1 M_PL_052","Clossiana chariclea","Colias hecla","Dasyhelea sp1 M_PL_052","Delia fabricii","Delia platura ","Dolichopus groenlandicus","Drymeia groenlandica","Eupeodes curtus","Eupeodes luniger","Eupithesia sobrinata","Eurois occulta","Forcipomyia sp1 M_PL_052","Helophilus borealis","Helophilus groenlandicus","Hymenoptera sp1 M_PL_052","Hymenoptera sp2 M_PL_052","Lasiestra leucocycla","Nowickia sp1 M_PL_052","Nysius groenlandicus","Oedemagena tarandi","Paregle audacula","Pegoplata tundrica","Periscepsia stylata","Phaonia pallidisquama","Platycheirus hyperboreus","Platycheirus lundbecki","Platycheirus varipes","Ramphomyia nigrita","Smittia sp1 M_PL_052","Sphaerophoria scripta","Spilogona sanctpauli","Stenomacrus sp1 M_PL_052","Syngrapha borea","Syngrapha u-aureum","Thysanoptera sp1 M_PL_052"
"1","Campanula gieseckiana",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Cerastium alpinum",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0
"3","Dryas integrifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
"4","Epilobium latifolium",0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"5","Ledum palustre",0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"6","Papaver radicatum",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"7","Pedicularis lapponica",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"8","Polygonum viviparum",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"9","Pyrola grandiflora",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"10","Rhododendron lapponicum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"11","Salix glauca",0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0
"12","Saxifraga triscupidata",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"13","Stellaria longiceps",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"14","Tofieldia pusilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"15","Vaccinium uliginosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
