"R01_1"	"R01_10"	"R01_11"	"R01_12"	"R01_13"	"R01_14"	"R01_15"	"R01_16"	"R01_2"	"R01_3"	"R01_4"	"R01_5"	"R01_6"	"R01_7"	"R01_8"	"R01_9"	"R02_17"	"R02_18"	"R02_19"	"R02_20"	"R02_21"	"R02_22"	"R02_23"	"R02_24"	"R02_25"	"R02_26"	"R02_27"	"R02_28"	"R02_29"	"R02_30"	"R02_31"	"adj.pvalues"
"CDKN1C"	1.25527250510331	2.43296929087441	1.39794000867204	1.36172783601759	1.23044892137827	0.954242509439325	2.27415784926368	2.78604121024255	2.90363251608424	2.06818586174616	1.95424250943932	1.49136169383427	1.51851393987789	1.30102999566398	2.05690485133647	1.5910646070265	2.74585519517373	1.86923171973098	3.17347764345299	2.46834733041216	3.45909078960059	2.70671778233676	3.90460736381545	2.17609125905568	2.61384182187607	2.46538285144842	2.20951501454263	1.51851393987789	1.90308998699194	1.94939000664491	2.46389298898591	0.00864461320461664
"MMP8"	1.90848501887865	3.04921802267018	3.47856649559384	3.80044212133626	3.17084820364331	2.63042787502502	3.16046853111904	1.34242268082221	2.02118929906994	2.57634135020579	3.28012289630231	2.62838893005031	1.83884909073726	3.11760269169008	3.41128291301738	3.32939787936104	2.93651374247889	1.17609125905568	1.89209460269048	1.23044892137827	1.80617997398389	2.69196510276736	2.38381536598043	1.86332286012046	1.51851393987789	1.43136376415899	3.76566855475901	2.88024177589548	2.40993312333129	2.27415784926368	2.80071707828239	0.0384791012063168
"GPR84"	2.09342168516224	3.08564728829686	3.00603795499732	3.26717172840301	2.71933128698373	2.61384182187607	2.96520170102591	1.6232492903979	1.55630250076729	2.92064500140679	3.11159852488039	2.67209785793572	1.95904139232109	2.81291335664286	3.4432629874587	3.06333335895175	2.26245108973043	1.11394335230684	1.67209785793572	1.11394335230684	1.80617997398389	3.08206693428511	2.02118929906994	1.07918124604762	1.55630250076729	1.6232492903979	2.26951294421792	2.25285303097989	1.91907809237607	2.34044411484012	2.4456042032736	0.0034178917679673
"ITGA7"	1.66275783168157	2.73957234445009	2.2148438480477	2.03742649794062	1.54406804435028	2.48000694295715	2.28103336724773	0	1.07918124604762	2.76863810124761	1.49136169383427	2.40140054078154	1.23044892137827	1.85733249643127	3.3541084391474	2.51054501020661	1.36172783601759	0.477121254719662	1.14612803567824	0.602059991327962	1.34242268082221	1.77085201164214	1.43136376415899	0.602059991327962	1.11394335230684	0.698970004336019	1.17609125905568	1.6232492903979	1.27875360095283	1.84509804001426	2.29885307640971	0.0129626800801424
"CCNA1"	1.49136169383427	3.00987563371216	2.49415459401844	2.35024801833416	2.06818586174616	0.778151250383644	2.2718416065365	0.602059991327962	0.903089986991944	2.85733249643127	1.73239375982297	1.7481880270062	1.14612803567824	1.54406804435028	2.72997428569956	2.06445798922692	1.70757017609794	0	1.27875360095283	0.602059991327962	1.11394335230684	2.04921802267018	1.69897000433602	0.602059991327962	1.64345267648619	0.301029995663981	1.61278385671974	1.04139268515823	1.07918124604762	1.86332286012046	2.35983548233989	0.037578095468951
"TDRD9"	2.29446622616159	3.16908635748702	2.68930885912362	3.69905685454767	3.08813608870055	2.73158876518674	3.00259798071991	1.53147891704226	1.81291335664286	3.08026562733984	3.25935492730803	3.09898963940118	2.13987908640124	2.68304703823885	3.75457765604473	3.23019337886905	2.64542226934909	1.27875360095283	1.99122607569249	1.61278385671974	2.41995574848976	3.13481437032046	2.55750720190566	1.81291335664286	1.83250891270624	1.89762709129044	2.23552844690755	2.54900326202579	2.32837960343874	2.6570558528571	2.86153441085904	0.0254842649634496
"HBZ"	1.46239799789896	0.301029995663981	2.14921911265538	0.301029995663981	0	0.602059991327962	1.38021124171161	0.602059991327962	1.80617997398389	0.477121254719662	1	0.602059991327962	1.64345267648619	0	0.602059991327962	0	1.49136169383427	1.57978359661681	1.68124123737559	1.23044892137827	1.70757017609794	1.93449845124357	2.84198480459011	1.91907809237607	0	1.14612803567824	0.954242509439325	2.01703333929878	0.301029995663981	1	1.74036268949424	0.0316530470534807
"JUP"	2.13353890837022	2.84198480459011	1.78532983501077	0.698970004336019	0.845098040014257	0.301029995663981	2.59328606702046	2.45331834004704	2.01283722470517	2.46239799789896	1.17609125905568	0.954242509439325	1.36172783601759	0.602059991327962	1.86332286012046	1.94448267215017	2.80345711564841	1.55630250076729	2.19033169817029	2.50379068305718	2.77158748088126	2.90687353472207	3.59977393914639	2.25042000230889	2.99913054128737	2.33041377334919	1.20411998265592	1.32221929473392	2.03342375548695	2.70926996097583	2.73719264270474	0.0129626800801424
"FAM20A"	2.47567118832443	2.93801909747621	2.62428209583567	3.83910078270715	3.20194306340165	2.94939000664491	2.47712125471966	1.64345267648619	2.14301480025409	3.02201573981772	3.16613397030511	3.13672056715641	2.38916608436453	2.3541084391474	3.3163897510732	3.26197619139781	1.94939000664491	0.778151250383644	1.67209785793572	1.17609125905568	1.83250891270624	2.58206336291171	2.32014628611105	1	1.88081359228079	1.57978359661681	1.79239168949825	2.50650503240487	2.36361197989214	2.32633586092875	2.78031731214015	0.00108175609189737
"MCEMP1"	3.19033169817029	3.98909369261033	3.84639897303467	4.2841824946369	4.02089967286254	3.5108130105125	3.6941662959332	2.50785587169583	2.49554433754645	4.04520558603506	4.01640650087112	3.85877773730545	3.1034616220947	3.60906054993009	4.33469495886716	4.16610434484162	2.72345567203519	1.53147891704226	2.78390357927274	2.06818586174616	2.5092025223311	3.9417598138147	2.91487181754005	1.98677173426624	2.58319877396862	2.19865708695442	3.01410032151962	3.32572085801941	2.75891189239797	3.40636983546927	3.04610478724604	0.00107802338495264
"CD177"	2.83378437465648	4.14597290280218	4.07485299588125	3.96051834278071	4.4546619606662	3.83695673705955	3.99760478746045	1.30102999566398	2.12385164096709	4.16879202031418	4.07616693934493	3.78197067391255	2.67760695272049	3.65590641818022	4.6049708449073	4.17860289034059	2.8318697742805	1.43136376415899	2.11727129565576	1.25527250510331	1.81954393554187	4.40476531840231	1.53147891704226	1.36172783601759	2.03342375548695	1.41497334797082	2.93601079571521	2.9670797341445	2.17318626841227	3.19755621315354	3.14238946611884	0.00107802338495264
"SIGLEC8"	1.64345267648619	0.477121254719662	0.301029995663981	0.903089986991944	0.602059991327962	0.301029995663981	0.301029995663981	2.26007138798507	1.81954393554187	0.778151250383644	0.477121254719662	0.778151250383644	0.477121254719662	0.301029995663981	0.778151250383644	1.23044892137827	1.20411998265592	1.36172783601759	2.38916608436453	1.55630250076729	2.41830129131975	1.30102999566398	3.54444013731769	1.55630250076729	3.1360860973841	1.32221929473392	0.602059991327962	1.78532983501077	1.32221929473392	2.02118929906994	1.07918124604762	0.00255611169825695
"IL1R2"	2.84010609445676	3.51161602056914	4.15274686402646	4.48628876096057	4.04068143937336	3.52968695377292	3.38021124171161	2.31386722036915	2.67851837904011	3.68770727962482	4.17187265613968	4.0361895887542	2.36735592102602	4.00194994108427	4.2852871973694	3.87731374331224	2.67486114073781	1.95904139232109	2.22271647114758	2.09342168516224	2.8394780473742	3.24748226067705	2.63346845557959	2.22271647114758	2.53147891704225	2.28330122870355	2.83632411570675	3.34986008219233	1.92427928606188	2.56702636615906	2.84073323461181	0.000664259667722111
"XKR3"	1.23044892137827	2.12385164096709	1.25527250510331	1.76342799356294	1	1.63346845557959	1.76342799356294	0.301029995663981	0.903089986991944	1.73239375982297	1.81954393554187	1.73239375982297	1.25527250510331	0.602059991327962	2.12385164096709	1.25527250510331	1.81954393554187	0	0.698970004336019	0	0.301029995663981	1.63346845557959	0.301029995663981	0	0.903089986991944	0.602059991327962	1.60205999132796	0.845098040014257	0.477121254719662	0.845098040014257	1.78532983501077	0.0189865883699276
"KREMEN1"	3.37419825792908	3.79021477024398	2.58319877396862	3.66114985724479	3.67586995531896	3.27207378750001	3.53706314278162	2.31386722036915	2.58433122436753	3.68033551341456	3.77437095984992	3.51666755909904	3.05728564441821	3.33705972632052	3.77121990194953	3.82981818743888	2.79934054945358	1.73239375982297	2.46239799789896	2.23044892137827	2.58883172559421	2.97451169273733	2.64345267648619	2.26245108973043	2.22530928172586	2.64836001098093	2.8055008581584	3.64097805735833	2.97405090279288	3.12580645813953	3.01828430842653	0.0036986703041864
"IL5RA"	2.07554696139253	0.698970004336019	0.778151250383644	1.04139268515823	1.04139268515823	0.301029995663981	1.43136376415899	2.59659709562646	2.24303804868629	1.11394335230684	0.301029995663981	0.698970004336019	0.845098040014257	0.698970004336019	1.11394335230684	2.01283722470517	1.68124123737559	1.7481880270062	2.45331834004704	1.78532983501077	2.56348108539441	1.46239799789896	3.41962536088774	1.81954393554187	3.25911584418507	1.83884909073726	1.11394335230684	2.22530928172586	1.9731278535997	2.29225607135648	1.84509804001426	0.00255611169825695
"ZDHHC19"	2.42651126136458	3.35717225772303	3.42160392686983	3.63457802285389	3.43711609304808	3.06295783408451	3.15745676813423	1.14612803567824	1.81291335664286	3.63498080005123	3.41912930774198	3.63488014076653	2.11394335230684	2.96142109406645	3.61552922363713	3.30513631894364	1.77085201164214	0.602059991327962	2.14612803567824	1.23044892137827	1.84509804001426	3.32674537956532	1.53147891704226	0.903089986991944	1.63346845557959	1.54406804435028	1.89209460269048	2.35602585719312	1.23044892137827	2.80071707828239	2.38381536598043	0.000664259667722111
"HS3ST1"	1.44715803134222	1.27875360095283	0	1.11394335230684	0.301029995663981	0.602059991327962	1.85733249643127	1.86923171973098	1.25527250510331	0.698970004336019	0.301029995663981	0	1.23044892137827	0	0.903089986991944	0.477121254719662	1.49136169383427	0.477121254719662	1.46239799789896	1.11394335230684	1.92941892571429	1.64345267648619	2.15836249209525	1.54406804435028	2.02118929906994	1.39794000867204	0.903089986991944	1.74036268949424	0.778151250383644	1.81291335664286	0.301029995663981	0.0330029934778416
"ARG1"	1.63346845557959	2.56110138364906	3.29819786710982	3.49679131570004	3.27692113206577	2.40823996531185	2.931457870689	1.07918124604762	2.20411998265592	2.51982799377572	3.38381536598043	2.66558099101795	1.7160033436348	3.31154195840119	3.37584643630916	2.76789761601809	2.46538285144842	1.41497334797082	2.01703333929878	0.698970004336019	1.83884909073726	3.16790781000148	2.12710479836481	1.34242268082221	1.23044892137827	1.36172783601759	3.18184358794477	2.95999483832842	1.76342799356294	2.22271647114758	2.60638136511061	0.0330029934778416
"BMX"	2.05690485133647	3.08919836680515	2.97451169273733	3.23044892137827	3.03582982525283	2.53402610605613	2.98227123303957	1.41497334797082	2.14921911265538	2.75815462196739	3.07040732174012	2.79448804665917	2.02938377768521	3.08026562733984	3.28847280059978	3.11360915107303	2.15533603746506	1.07918124604762	1.91907809237607	1	1.8750612633917	2.98227123303957	1.69019608002851	1.20411998265592	1.61278385671974	0.778151250383644	2.55990662503611	2.79379038469082	1.63346845557959	2.27646180417324	2.55144999797288	0.00255611169825695
